Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
52.7,9.0,28.0,31.5,6.6,2.94,0.42,0.42,185.0,32.0,35.8,2.43
52.7,9.0,3.0,31.5,6.6,2.94,0.44,0.44,185.0,34.0,25.2,1.52
52.7,9.0,28.0,31.5,6.6,2.94,0.44,0.44,185.0,34.0,38.3,2.6
52.7,9.0,3.0,31.5,6.6,2.94,0.46,0.46,185.0,36.0,23.3,1.8
52.7,9.0,28.0,31.5,6.6,2.94,0.46,0.46,185.0,36.0,37.2,3.24
43.7,7.5,3.0,25.0,0.4,2.3,0.3,0.425,153.0,41.0,46.3,3.04
43.7,7.5,7.0,25.0,0.4,2.3,0.3,0.425,153.0,41.0,58.5,3.53
43.7,7.5,28.0,25.0,0.4,2.3,0.3,0.425,153.0,41.0,72.7,4.15
43.7,7.5,60.0,25.0,0.4,2.3,0.3,0.425,153.0,41.0,76.8,4.59
43.7,7.5,90.0,25.0,0.4,2.3,0.3,0.425,153.0,41.0,80.8,4.82
43.7,7.5,120.0,25.0,0.4,2.3,0.3,0.425,153.0,41.0,83.8,5.03
43.7,7.5,180.0,25.0,0.4,2.3,0.3,0.425,153.0,41.0,84.6,5.07
43.7,7.5,365.0,25.0,0.4,2.3,0.3,0.425,153.0,41.0,87.2,5.14
43.7,7.5,3.0,25.0,2.3,3.1,0.3,0.428,152.0,38.0,46.2,3.19
43.7,7.5,7.0,25.0,2.3,3.1,0.3,0.428,152.0,38.0,56.9,3.58
43.7,7.5,28.0,25.0,2.3,3.1,0.3,0.428,152.0,38.0,74.5,4.36
43.7,7.5,60.0,25.0,2.3,3.1,0.3,0.428,152.0,38.0,79.3,4.65
43.7,7.5,90.0,25.0,2.3,3.1,0.3,0.428,152.0,38.0,81.3,4.89
43.7,7.5,120.0,25.0,2.3,3.1,0.3,0.428,152.0,38.0,82.6,4.99
43.7,7.5,180.0,25.0,2.3,3.1,0.3,0.428,152.0,38.0,83.5,5.05
43.7,7.5,365.0,25.0,2.3,3.1,0.3,0.428,152.0,38.0,85.2,5.17
43.7,7.5,3.0,25.0,2.3400000000000003,3.1,0.3,0.428,152.0,38.0,48.5,3.24
43.7,7.5,7.0,25.0,4.140000000000001,3.1,0.3,0.428,152.0,38.0,60.4,3.8
43.7,7.5,28.0,25.0,2.8200000000000003,3.1,0.3,0.428,152.0,38.0,75.9,4.49
43.7,7.5,60.0,25.0,3.7400000000000007,3.1,0.3,0.428,152.0,38.0,82.1,4.78
43.7,7.5,90.0,25.0,3.9199999999999995,3.1,0.3,0.428,152.0,38.0,84.2,4.92
43.7,7.5,120.0,25.0,3.9200000000000004,3.1,0.3,0.428,152.0,38.0,86.1,5.05
43.7,7.5,180.0,25.0,6.2,3.1,0.3,0.428,152.0,38.0,88.6,5.18
43.7,7.5,365.0,25.0,6.2,3.1,0.3,0.428,152.0,38.0,90.7,5.39
43.7,7.5,3.0,25.0,6.3,3.1,0.3,0.428,152.0,38.0,50.7,3.42
43.7,7.5,7.0,25.0,6.3,3.1,0.3,0.428,152.0,38.0,61.0,3.9
43.7,7.5,28.0,25.0,6.3,3.1,0.3,0.428,152.0,38.0,79.5,4.73
43.7,7.5,60.0,25.0,6.3,3.1,0.3,0.428,152.0,38.0,85.4,5.05
43.7,7.5,90.0,25.0,6.3,3.1,0.3,0.428,152.0,38.0,87.3,5.18
43.7,7.5,120.0,25.0,6.3,3.1,0.3,0.428,152.0,38.0,88.5,5.24
43.7,7.5,180.0,25.0,6.3,3.1,0.3,0.428,152.0,38.0,90.2,5.32
43.7,7.5,365.0,25.0,6.3,3.1,0.3,0.428,152.0,38.0,92.2,5.48
43.7,7.5,3.0,25.0,3.5200000000000005,3.1,0.3,0.3,152.0,38.0,58.7,3.54
43.7,7.5,7.0,25.0,4.14,3.1,0.3,0.3,152.0,38.0,66.7,3.98
43.7,7.5,28.0,25.0,2.8200000000000003,3.1,0.3,0.3,152.0,38.0,78.8,4.61
43.7,7.5,60.0,25.0,3.7399999999999998,3.1,0.3,0.3,152.0,38.0,84.1,4.97
43.7,7.5,90.0,25.0,3.9200000000000004,3.1,0.3,0.3,152.0,38.0,86.2,5.15
43.7,7.5,120.0,25.0,3.9200000000000004,3.1,0.3,0.3,152.0,38.0,86.9,5.19
43.7,7.5,180.0,25.0,6.2,3.1,0.3,0.3,152.0,38.0,87.1,5.22
43.7,7.5,365.0,25.0,6.2,3.1,0.3,0.3,152.0,38.0,88.1,5.23
43.7,7.5,3.0,25.0,3.34,3.1,0.32,0.457,152.0,39.0,44.0,3.16
43.7,7.5,7.0,25.0,3.5200000000000005,3.1,0.32,0.457,152.0,39.0,56.1,3.54
43.7,7.5,28.0,25.0,2.8200000000000003,3.1,0.32,0.457,152.0,39.0,70.7,4.32
43.7,7.5,60.0,25.0,3.7400000000000007,3.1,0.32,0.457,152.0,39.0,78.7,4.76
43.7,7.5,90.0,25.0,3.12,3.1,0.32,0.457,152.0,39.0,82.5,4.96
43.7,7.5,120.0,25.0,3.9200000000000004,3.1,0.32,0.457,152.0,39.0,85.7,5.11
43.7,7.5,180.0,25.0,6.2,3.1,0.32,0.457,152.0,39.0,88.2,5.25
43.7,7.5,365.0,25.0,6.2,3.1,0.32,0.457,152.0,39.0,92.0,5.4
55.8,10.8,7.0,25.0,4.2,2.8,0.24,0.3,135.0,34.0,76.7,6.0
55.8,10.8,28.0,19.6,4.2,2.8,0.24,0.3,135.0,34.0,93.5,6.7
55.8,10.8,7.0,25.0,9.69,2.74,0.24,0.3,135.0,34.0,84.4,5.8
55.8,10.8,28.0,19.6,9.69,2.74,0.24,0.3,135.0,34.0,95.3,6.9
55.8,10.8,7.0,25.0,4.2,2.8,0.24,0.3,135.0,34.0,78.1,5.5
55.8,10.8,28.0,19.6,4.2,2.8,0.24,0.3,135.0,34.0,90.2,6.2
55.8,10.8,7.0,25.0,4.2,2.8,0.24,0.3,135.0,34.0,82.4,5.8
55.8,10.8,28.0,19.6,4.2,2.8,0.24,0.3,135.0,34.0,90.6,6.4
55.8,10.8,7.0,25.0,9.69,2.74,0.24,0.3,135.0,34.0,83.1,5.9
55.8,10.8,28.0,19.6,9.69,2.74,0.24,0.3,135.0,34.0,89.4,6.7
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,176.0,41.7,67.3,4.35
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,168.0,38.8,67.4,4.38
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,160.0,36.1,68.0,4.48
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,153.0,33.5,69.1,4.52
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,166.0,35.0,68.0,4.42
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,160.0,36.0,68.0,4.48
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,155.0,37.0,69.3,4.5
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,149.0,38.0,73.5,4.55
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,144.0,39.0,68.8,4.32
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,153.0,33.5,69.1,4.52
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,147.0,34.5,69.2,4.53
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,145.0,35.0,70.8,4.55
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,142.0,35.5,71.9,4.58
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,139.0,36.0,70.3,4.43
55.2,8.9,28.0,25.0,0.8,2.85,0.45,0.47,173.0,38.0,46.3,3.25
55.2,8.9,28.0,25.0,0.8,2.85,0.4,0.47,164.0,38.0,55.0,3.56
55.2,8.9,28.0,25.0,0.8,2.85,0.35,0.47,154.0,38.0,66.5,3.85
55.2,8.9,28.0,25.0,0.8,2.85,0.33,0.47,149.0,38.0,73.5,4.55
55.2,8.9,28.0,25.0,0.8,2.85,0.32,0.47,147.0,38.0,74.3,4.6
55.2,8.9,28.0,25.0,0.8,2.85,0.3,0.47,142.0,38.0,82.5,4.65
55.2,8.9,28.0,25.0,0.8,2.85,0.25,0.47,128.0,38.0,70.8,4.28
55.2,8.9,28.0,25.0,0.8,2.85,0.3,0.43,120.0,38.0,78.0,4.35
55.2,8.9,28.0,25.0,0.8,2.85,0.3,0.43,142.0,38.0,82.5,4.65
55.2,8.9,28.0,25.0,0.8,2.85,0.3,0.43,163.0,38.0,76.5,4.25
55.2,8.9,28.0,25.0,0.8,2.85,0.3,0.43,184.0,38.0,76.0,4.19
55.2,8.9,28.0,25.0,0.8,2.85,0.3,0.43,206.0,38.0,74.2,4.14
55.2,8.9,28.0,25.0,0.8,2.85,0.3,0.43,248.0,38.0,74.0,4.13
55.2,8.9,28.0,25.0,0.8,2.85,0.3,0.43,291.0,38.0,74.0,4.12
39.82000000000001,7.2,28.0,20.0,8.459999999999999,3.0,0.44,0.51,205.0,39.0,52.03,3.3
48.480000000000004,8.3,28.0,20.0,9.419999999999998,3.0,0.39,0.47,205.0,38.0,60.14,3.7
50.7,8.78,28.0,20.0,5.5600000000000005,3.0,0.33,0.41,170.0,38.0,80.37,4.4
50.42,8.72,28.0,20.0,3.72,3.0,0.26,0.4,175.0,37.0,89.24,4.6
52.6,9.4,7.0,25.0,0.0,3.1,0.55,0.55,180.0,42.0,24.3,1.28
52.6,9.4,28.0,25.0,0.0,3.1,0.55,0.55,180.0,42.0,34.6,1.68
52.6,9.4,7.0,25.0,3.0,3.1,0.55,0.55,180.0,42.0,24.8,1.34
52.6,9.4,28.0,25.0,3.0,3.1,0.55,0.55,180.0,42.0,34.9,1.8
52.6,9.4,7.0,25.0,5.0,3.1,0.55,0.55,180.0,42.0,25.9,1.34
52.6,9.4,28.0,25.0,5.0,3.1,0.55,0.55,180.0,42.0,35.9,1.82
52.6,9.4,7.0,25.0,7.0,3.1,0.55,0.55,180.0,42.0,25.5,1.48
52.6,9.4,28.0,25.0,7.0,3.1,0.55,0.55,180.0,42.0,36.4,1.96
52.6,9.4,7.0,25.0,10.0,3.1,0.55,0.55,180.0,42.0,26.3,1.64
52.6,9.4,28.0,25.0,10.0,3.1,0.55,0.55,180.0,42.0,37.9,2.15
52.6,9.4,7.0,25.0,15.0,3.1,0.55,0.55,180.0,42.0,27.4,1.72
52.6,9.4,28.0,25.0,15.0,3.1,0.55,0.55,180.0,42.0,38.2,2.19
52.6,9.4,7.0,25.0,20.0,3.1,0.55,0.55,180.0,42.0,25.7,1.81
52.6,9.4,28.0,25.0,20.0,3.1,0.55,0.55,180.0,42.0,36.5,2.17
47.21999999999999,8.02,3.0,20.0,3.0,3.3,0.3,0.38,166.0,48.0,48.9,3.35
45.46,7.76,7.0,20.0,3.0,3.3,0.3,0.38,166.0,48.0,64.1,5.36
50.06,8.32,28.0,20.0,3.0,3.3,0.3,0.38,166.0,48.0,80.2,5.75
48.98,8.280000000000001,3.0,20.0,7.0,3.3,0.3,0.38,166.0,48.0,49.0,3.07
45.46,7.76,7.0,20.0,7.0,3.3,0.3,0.38,166.0,48.0,66.3,5.65
50.06,8.32,28.0,20.0,7.0,3.3,0.3,0.38,166.0,48.0,80.1,6.01
48.98,8.280000000000001,3.0,20.0,10.0,3.3,0.3,0.38,166.0,48.0,48.2,2.97
47.21999999999999,8.02,7.0,20.0,10.0,3.3,0.3,0.38,166.0,48.0,61.7,5.33
54.660000000000004,8.879999999999999,28.0,20.0,10.0,3.3,0.3,0.38,166.0,48.0,75.3,5.85
47.239999999999995,8.52,28.0,26.2,20.0,3.214,0.44,0.44,186.0,30.0,51.2,3.78
47.419999999999995,8.64,28.0,25.3,16.8,3.1979999999999995,0.44,0.44,184.0,30.0,54.0,3.96
44.5,7.8,28.0,25.0,4.2,2.6,0.54,0.54,185.0,38.0,28.8,2.73
44.5,7.8,28.0,25.0,4.2,2.6,0.45,0.45,185.0,38.0,35.0,3.31
44.5,7.8,28.0,25.0,4.2,2.6,0.4,0.4,190.0,38.0,39.8,3.72
47.7,7.9,28.0,80.0,18.0,2.8,0.46,0.46,135.0,27.0,28.9,1.98
47.660000000000004,8.139999999999999,28.0,80.0,16.8,2.8,0.46,0.46,160.0,32.0,33.3,2.42
47.7,7.9,28.0,80.0,21.7,2.8,0.46,0.46,160.0,32.0,30.2,2.26
47.7,7.9,28.0,80.0,21.8,2.8,0.48,0.48,150.0,34.0,30.0,2.15
47.7,7.9,28.0,80.0,21.8,2.8,0.48,0.48,130.0,28.0,28.0,1.98
47.7,7.9,28.0,80.0,16.7,2.8,0.48,0.48,130.0,28.0,25.3,1.89
47.7,7.9,28.0,80.0,18.0,2.8,0.53,0.53,130.0,29.0,24.9,1.84
47.7,7.9,28.0,80.0,18.2,2.8,0.53,0.53,130.0,29.0,22.5,1.7
47.7,7.9,28.0,80.0,17.4,2.8,0.53,0.53,130.0,29.0,26.7,1.84
47.7,7.9,28.0,80.0,17.5,2.8,0.58,0.58,134.0,29.0,24.4,1.7
48.74,8.0,28.0,80.0,16.8,2.8,0.58,0.58,134.0,29.0,29.6,2.25
47.7,7.9,28.0,80.0,20.0,2.8,0.58,0.58,134.0,29.0,21.3,1.7
47.7,7.9,28.0,80.0,18.2,2.8,0.63,0.63,133.0,30.0,20.0,1.59
47.7,7.9,28.0,80.0,18.2,2.8,0.63,0.63,138.0,30.0,19.0,1.36
47.7,7.9,28.0,80.0,20.0,2.8,0.63,0.63,133.0,31.0,18.2,1.42
40.72,7.76,28.0,20.0,12.1,3.1,0.5,0.5,107.6,28.4,26.5,2.69
47.32800000000001,8.96,28.0,20.0,15.0,3.1,0.5,0.5,164.4,36.8,31.8,2.91
43.908,8.52,28.0,20.0,18.0,3.1,0.5,0.5,164.15,39.0,30.9,2.83
45.767999999999994,8.22,28.0,20.0,21.0,3.1,0.5,0.5,185.35,40.0,30.8,2.69
51.14,7.959999999999999,28.0,54.0,13.8,2.6,0.5,0.5,116.6,33.4,22.3,2.26
49.164,8.3,28.0,72.0,20.8,2.9,0.5,0.5,164.0,30.8,28.4,2.42
50.31999999999999,8.02,28.0,64.0,25.9,3.3,0.5,0.5,156.4,32.2,26.5,2.36
52.7,9.0,28.0,40.0,5.0,2.888,0.5,0.5,187.0,35.2,27.5,2.31
52.7,9.0,28.0,40.0,10.0,2.904,0.5,0.5,188.0,35.2,28.1,2.42
51.11999999999999,8.78,28.0,40.0,15.0,2.698,0.5,0.5,189.0,35.0,29.2,2.39
42.660000000000004,7.840000000000001,28.0,40.0,20.0,2.77,0.5,0.5,190.0,33.8,28.7,2.54
41.64,7.739999999999999,28.0,40.0,25.0,2.79,0.5,0.5,191.0,35.4,29.8,2.36
48.239999999999995,8.540000000000001,28.0,40.0,5.0,2.956,0.6,0.6,183.0,36.4,24.2,2.0
41.36,7.82,28.0,40.0,10.0,2.428,0.6,0.6,184.0,34.8,25.1,2.04
40.8,7.7,28.0,40.0,15.0,2.45,0.6,0.6,185.0,34.6,26.6,2.31
39.220000000000006,7.4799999999999995,28.0,40.0,20.0,2.7399999999999998,0.6,0.6,186.0,35.8,23.5,2.17
39.220000000000006,7.4799999999999995,28.0,40.0,25.0,2.7399999999999998,0.6,0.6,187.0,37.4,23.1,1.99
47.7,7.9,28.0,80.0,5.0,2.812,0.5,0.5,150.0,30.8,29.0,2.5
47.7,7.9,28.0,80.0,10.0,2.812,0.5,0.5,151.0,30.8,31.2,2.64
48.739999999999995,8.0,28.0,80.0,15.0,2.722,0.5,0.5,152.0,30.8,34.8,2.76
48.74000000000001,8.0,28.0,80.0,20.0,2.7300000000000004,0.5,0.5,153.0,30.8,33.5,2.57
47.7,7.9,28.0,80.0,25.0,2.83,0.5,0.5,154.0,30.8,32.9,2.49
47.7,7.9,28.0,80.0,5.0,2.7800000000000002,0.7,0.7,151.0,31.4,21.6,1.87
47.7,7.9,28.0,80.0,10.0,2.7800000000000002,0.7,0.7,151.0,31.4,23.3,2.09
47.7,7.9,28.0,80.0,15.0,2.7800000000000002,0.7,0.7,152.0,31.0,26.3,2.09
47.7,7.9,28.0,80.0,20.0,2.88,0.7,0.7,152.0,31.0,23.5,1.74
47.7,7.9,28.0,80.0,25.0,2.88,0.7,0.7,154.0,31.4,22.5,1.7
44.8,7.9,7.0,31.5,5.0,2.6,0.5,0.5,180.0,42.0,25.9,1.38
44.8,7.9,28.0,31.5,5.0,2.6,0.5,0.5,180.0,42.0,35.9,1.82
44.8,7.9,7.0,31.5,10.0,2.6,0.5,0.5,180.0,42.0,25.5,1.64
44.8,7.9,28.0,31.5,10.0,2.6,0.5,0.5,180.0,42.0,35.9,2.15
44.8,7.9,7.0,31.5,15.0,2.6,0.5,0.5,180.0,42.0,25.4,1.72
44.8,7.9,28.0,31.5,15.0,2.6,0.5,0.5,180.0,42.0,35.9,2.19
44.8,7.9,7.0,31.5,20.0,2.6,0.5,0.5,180.0,42.0,24.7,2.01
44.8,7.9,28.0,31.5,20.0,2.6,0.5,0.5,180.0,42.0,35.5,2.17
47.6,8.5,7.0,40.0,6.0,3.2,0.55,0.55,175.0,42.0,27.3,1.6
47.6,8.5,7.0,40.0,12.0,3.2,0.55,0.55,175.0,41.0,30.1,1.7
47.6,8.5,7.0,40.0,18.0,3.2,0.55,0.55,175.0,40.0,31.7,2.0
47.6,8.5,28.0,40.0,6.0,3.2,0.55,0.55,175.0,42.0,33.3,2.1
47.6,8.5,28.0,40.0,12.0,3.2,0.55,0.55,175.0,41.0,36.3,2.4
47.6,8.5,28.0,40.0,18.0,3.2,0.55,0.55,175.0,40.0,38.0,2.6
51.7,9.1,28.0,25.0,6.0,3.2,0.38,0.38,179.0,35.0,61.3,4.25
51.7,9.1,28.0,25.0,9.0,3.2,0.38,0.38,179.0,35.0,62.7,4.34
51.7,9.1,28.0,25.0,12.0,3.2,0.38,0.38,179.0,35.0,60.8,4.01
51.7,9.1,28.0,25.0,12.0,3.2,0.38,0.38,179.0,35.0,60.6,4.29
51.7,9.1,28.0,25.0,12.0,3.2,0.38,0.38,179.0,35.0,62.4,4.17
60.8,8.5,28.0,80.0,15.26,2.67,0.38,0.38,114.0,26.0,39.8,2.71
60.8,8.5,28.0,80.0,11.8,2.67,0.38,0.38,114.0,26.0,34.3,2.92
47.7,7.9,28.0,80.0,16.939999999999998,2.67,0.62,0.77,120.0,30.0,17.9,1.22
47.7,7.9,28.0,80.0,16.939999999999998,2.67,0.62,0.77,120.0,30.0,18.6,1.8
47.7,7.9,28.0,80.0,16.939999999999998,2.67,0.62,0.77,120.0,30.0,20.6,1.94
47.7,7.9,28.0,80.0,16.939999999999998,2.67,0.62,0.77,120.0,30.0,18.2,1.8
47.7,7.9,28.0,80.0,18.1,2.67,0.62,0.77,120.0,30.0,23.7,1.83
54.48,8.42,28.0,80.0,12.0,2.88,0.5,0.625,110.0,26.0,32.5,2.88
56.06,8.44,28.0,80.0,16.0,2.73,0.5,0.625,110.0,26.0,35.8,2.73
54.48,8.42,28.0,80.0,16.0,2.73,0.5,0.625,110.0,28.0,30.2,2.4
56.06,8.44,28.0,80.0,21.0,2.54,0.4,0.5,110.0,24.0,39.6,2.74
54.48,8.419999999999998,28.0,80.0,21.0,2.54,0.5,0.625,110.0,26.0,30.7,2.47
56.06,8.44,28.0,80.0,21.0,2.54,0.6,0.75,110.0,28.0,36.5,2.14
46.8,8.0,7.0,31.5,0.0,3.3259999999999996,0.4,0.4,190.0,30.0,37.2,2.45
51.519999999999996,8.8,7.0,31.5,10.0,2.9059999999999997,0.4,0.4,190.0,30.0,29.6,2.69
46.8,8.0,7.0,31.5,20.0,2.87,0.4,0.4,190.0,30.0,38.4,2.4
46.8,8.0,7.0,31.5,30.0,2.77,0.4,0.4,190.0,30.0,41.1,2.78
48.56,8.181999999999999,7.0,29.2,40.0,2.7619999999999996,0.4,0.4,190.0,30.0,42.5,3.07
52.7,9.0,7.0,31.5,0.0,2.94,0.7,0.7,190.0,34.0,16.4,1.13
52.7,9.0,7.0,31.5,10.0,2.94,0.7,0.7,190.0,34.0,17.9,1.36
50.1,8.622,7.0,27.9,20.0,2.808,0.7,0.7,190.0,34.0,16.3,1.08
50.67999999999999,8.604000000000001,7.0,25.6,30.0,2.7800000000000002,0.7,0.7,190.0,34.0,19.7,1.47
50.67999999999999,8.604000000000001,7.0,27.3,40.0,2.8,0.7,0.7,190.0,34.0,21.0,1.38
52.68000000000001,9.08,7.0,30.2,0.0,2.972,1.0,1.0,190.0,42.0,7.9,0.62
53.86,8.964,7.0,26.9,10.0,2.8839999999999995,1.0,1.0,190.0,42.0,9.5,0.71
50.68000000000001,8.604,7.0,25.6,20.0,2.78,1.0,1.0,190.0,42.0,10.5,0.8
52.839999999999996,8.806000000000001,7.0,23.3,30.0,2.8199999999999994,1.0,1.0,190.0,42.0,12.4,0.99
52.839999999999996,8.806000000000001,7.0,23.3,40.0,2.8199999999999994,1.0,1.0,190.0,42.0,13.1,1.11
39.82000000000001,7.2,28.0,25.3,0.0,3.1979999999999995,0.4,0.4,190.0,30.0,46.4,2.88
41.44,7.5,28.0,25.0,10.0,3.19,0.4,0.4,190.0,30.0,48.1,3.01
43.160000000000004,7.720000000000001,28.0,26.3,20.0,3.106,0.4,0.4,190.0,30.0,50.5,3.23
43.339999999999996,7.859999999999999,28.0,24.0,30.0,3.054,0.4,0.4,190.0,30.0,50.1,2.9
46.82000000000001,8.261999999999999,28.0,22.0,40.0,3.0159999999999996,0.4,0.4,190.0,30.0,51.6,3.15
49.42,8.52,28.0,35.3,0.0,2.836,0.7,0.7,190.0,34.0,23.8,1.82
44.17999999999999,8.040000000000001,28.0,36.0,10.0,2.868,0.7,0.7,190.0,34.0,24.4,1.9
37.9,7.279999999999999,28.0,32.0,20.0,3.0199999999999996,0.7,0.7,190.0,34.0,27.7,1.62
40.78,7.779999999999999,28.0,36.0,30.0,3.02,0.7,0.7,190.0,34.0,25.7,1.86
40.78,7.779999999999999,28.0,36.0,40.0,2.94,0.7,0.7,190.0,34.0,26.7,1.58
42.54,7.8,28.0,37.0,0.0,2.688,1.0,1.0,190.0,42.0,14.1,0.98
40.739999999999995,7.68,28.0,36.0,10.0,2.6399999999999997,1.0,1.0,190.0,42.0,13.0,1.18
39.160000000000004,7.459999999999999,28.0,36.0,20.0,2.92,1.0,1.0,190.0,42.0,14.2,1.23
40.78,7.779999999999999,28.0,36.0,30.0,2.92,1.0,1.0,190.0,42.0,17.2,1.33
41.564,7.779999999999999,28.0,36.0,40.0,2.92,1.0,1.0,190.0,42.0,17.3,1.39
52.9,8.4,7.0,80.0,15.0,2.8,0.5,0.66,104.0,30.0,20.4,1.61
52.9,8.4,7.0,80.0,15.0,2.8,0.5,0.66,108.0,30.0,19.9,1.57
52.9,8.4,7.0,80.0,15.0,2.8,0.5,0.66,110.0,30.0,19.2,1.53
52.9,8.4,7.0,80.0,15.0,2.8,0.5,0.66,114.0,30.0,18.4,1.5
52.9,8.4,7.0,80.0,15.0,2.8,0.5,0.66,115.0,30.0,18.4,1.5
52.9,8.4,28.0,80.0,15.0,2.8,0.5,0.66,104.0,30.0,29.7,3.04
52.9,8.4,28.0,80.0,15.0,2.8,0.5,0.66,108.0,30.0,29.7,3.02
52.9,8.4,28.0,80.0,15.0,2.8,0.5,0.66,110.0,30.0,28.5,2.91
51.86,8.3,28.0,80.0,15.0,2.8,0.5,0.66,114.0,30.0,27.4,2.84
51.85999999999999,8.3,28.0,80.0,15.0,2.8,0.5,0.66,115.0,30.0,27.1,2.75
52.9,8.4,90.0,80.0,15.0,2.8,0.5,0.66,104.0,30.0,40.9,3.43
52.9,8.4,90.0,80.0,15.0,2.8,0.5,0.66,108.0,30.0,40.2,3.37
52.9,8.4,90.0,80.0,15.0,2.8,0.5,0.66,110.0,30.0,39.4,3.26
52.9,8.4,90.0,80.0,15.0,2.8,0.5,0.66,114.0,30.0,38.3,3.19
52.9,8.4,90.0,80.0,15.0,2.8,0.5,0.66,115.0,30.0,37.5,3.15
40.78,7.779999999999999,28.0,36.0,24.0,2.7,0.57,0.57,192.0,35.0,21.8,2.41
41.08,7.4,28.0,26.3,24.0,2.7,0.43,0.43,193.0,32.0,39.7,3.68
62.4,8.4,7.0,120.0,12.1,2.56,0.55,0.92,83.5,26.5,8.1,0.56
62.4,8.4,7.0,120.0,12.1,2.56,0.55,0.92,83.5,26.5,9.7,0.68
62.4,8.4,7.0,120.0,12.1,2.56,0.55,0.92,83.5,27.0,9.9,0.72
62.4,8.4,7.0,120.0,12.1,2.56,0.55,0.92,83.5,27.0,10.7,0.8
52.9,8.4,7.0,120.0,12.1,2.56,0.45,0.64,98.0,29.5,15.2,1.2
52.9,8.4,7.0,120.0,12.1,2.56,0.45,0.64,98.0,29.5,16.7,1.21
52.9,8.4,7.0,120.0,12.1,2.56,0.45,0.64,98.0,30.0,19.2,1.38
52.9,8.4,7.0,120.0,12.1,2.56,0.45,0.64,98.0,30.0,19.6,1.31
62.4,8.4,28.0,120.0,12.1,2.56,0.55,0.92,83.5,26.5,12.6,0.95
62.4,8.4,28.0,120.0,12.1,2.56,0.55,0.92,83.5,26.5,14.7,1.12
62.4,8.4,28.0,120.0,12.1,2.56,0.55,0.92,83.5,27.0,16.4,1.39
62.4,8.4,28.0,120.0,12.1,2.56,0.55,0.92,83.5,27.0,16.6,1.41
52.9,8.4,28.0,80.0,12.1,2.56,0.45,0.64,98.0,29.5,23.5,1.73
52.9,8.4,28.0,80.0,12.1,2.56,0.45,0.64,98.0,29.5,26.7,1.78
52.9,8.4,28.0,80.0,12.1,2.56,0.45,0.64,98.0,30.0,28.3,1.88
52.9,8.4,28.0,80.0,12.1,2.56,0.45,0.64,98.0,30.0,31.1,2.08
62.4,8.4,90.0,120.0,12.1,2.56,0.55,0.92,83.5,26.5,21.1,1.51
62.4,8.4,90.0,120.0,12.1,2.56,0.55,0.92,83.5,26.5,24.2,1.65
62.4,8.4,90.0,120.0,12.1,2.56,0.55,0.92,83.5,27.0,26.8,1.76
62.4,8.4,90.0,120.0,12.1,2.56,0.55,0.92,83.5,27.0,26.1,2.11
52.9,8.4,90.0,120.0,12.1,2.56,0.45,0.64,98.0,29.5,36.7,2.45
52.9,8.4,90.0,120.0,12.1,2.56,0.45,0.64,98.0,29.5,37.0,2.44
52.9,8.4,90.0,120.0,12.1,2.56,0.45,0.64,98.0,30.0,40.4,2.65
52.9,8.4,90.0,120.0,12.1,2.56,0.45,0.64,98.0,30.0,41.1,2.9
62.4,8.4,7.0,88.0,11.2,2.44,0.45,0.64,87.0,27.0,18.6,1.43
62.4,8.4,7.0,72.0,11.2,2.44,0.45,0.64,87.0,26.0,12.9,1.03
62.4,8.4,7.0,72.0,11.2,2.44,0.5,0.83,87.0,28.0,13.3,0.98
62.4,8.4,7.0,56.0,11.2,2.44,0.5,0.83,87.0,27.0,9.6,0.71
62.4,8.4,7.0,40.0,13.0,2.68,0.5,0.83,89.0,36.0,15.5,0.79
62.4,8.4,7.0,40.0,13.0,2.68,0.5,1.0,88.0,36.0,11.9,0.72
62.4,8.4,7.0,40.0,13.0,2.68,0.5,1.11,88.0,36.0,9.3,0.61
62.4,8.4,7.0,40.0,11.2,2.44,0.5,0.83,103.0,36.0,11.6,0.9
62.4,8.4,7.0,40.0,11.2,2.44,0.5,1.0,102.0,36.0,9.2,0.72
62.4,8.4,7.0,40.0,11.2,2.44,0.5,1.11,102.0,36.0,7.8,0.65
62.4,8.4,28.0,28.0,11.2,2.44,0.45,0.64,87.0,27.0,29.8,2.23
