Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
46.8,8.0,98.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,58.0,4.47
46.8,8.0,98.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,58.8,4.31
46.8,8.0,98.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,57.2,4.52
46.8,8.0,118.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,59.7,4.61
46.8,8.0,118.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,63.7,4.38
46.8,8.0,118.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,63.0,4.48
46.8,8.0,148.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,62.4,4.47
46.8,8.0,148.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,64.1,4.27
46.8,8.0,148.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,65.0,4.69
46.8,8.0,178.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,63.1,4.45
46.8,8.0,178.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,64.3,4.07
46.8,8.0,178.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,66.2,4.29
46.8,8.0,208.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,63.6,4.32
46.8,8.0,208.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,65.1,4.41
46.8,8.0,208.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,67.0,4.31
46.8,8.0,238.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,64.4,4.26
46.8,8.0,238.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,67.8,4.09
46.8,8.0,238.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,68.7,4.24
46.8,8.0,268.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,65.4,4.19
46.8,8.0,268.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,68.3,4.29
46.8,8.0,268.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,69.2,4.25
46.8,8.0,298.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,67.1,4.21
46.8,8.0,298.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,70.8,4.04
46.8,8.0,298.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,71.2,4.35
46.8,8.0,328.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,67.6,4.43
46.8,8.0,328.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,71.1,4.11
46.8,8.0,328.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,71.4,4.3
46.8,8.0,358.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,67.8,4.45
46.8,8.0,358.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,71.5,4.22
46.8,8.0,358.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,72.0,4.35
46.8,8.0,388.0,31.5,5.0,3.34,0.45,0.45,180.0,36.0,68.2,4.52
46.8,8.0,388.0,31.5,9.0,3.27,0.45,0.45,180.0,36.0,71.9,4.31
46.8,8.0,388.0,31.5,13.0,2.77,0.45,0.45,180.0,36.0,72.4,4.41
46.8,8.0,3.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,42.7,2.96
46.8,8.0,3.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,39.7,2.64
46.8,8.0,3.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,34.0,2.39
46.8,8.0,7.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,49.4,3.08
46.8,8.0,7.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,49.7,3.39
46.8,8.0,7.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,43.6,3.11
46.8,8.0,14.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,51.9,3.41
46.8,8.0,14.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,51.4,3.45
46.8,8.0,14.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,43.8,3.45
46.8,8.0,28.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,52.9,3.67
46.8,8.0,28.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,61.7,3.52
46.8,8.0,28.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,57.7,3.75
46.8,8.0,42.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,64.0,3.94
46.8,8.0,42.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,62.5,3.81
46.8,8.0,42.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,60.6,3.79
